task_type,model,MAE,RMSE,MASE
electricuty_energy_univariate,seasonal_naive,0.0272321428571428,0.0311279043395379,18.460602329615295
chickenpox_dense_univariate,seasonal_naive,59.943396226415096,90.4841276605492,1.439084304601155
patient_sparse_univariate,seasonal_naive,33.83050803859978,37.38010201402176,225.7512999031386
invetories_manufacturing_univariate,seasonal_naive,0.0936585365853659,0.1241163891223898,5.999479173443147
synthetic_cyclic_univariate,seasonal_naive,2.0956259308648737,2.7526153351987803,1.3966831596296452
employees_healthcare_univariate,seasonal_naive,1260.118181818182,1427.5269559626531,42.03034589383731
coinbase_days_univariate,seasonal_naive,23.65179347826087,28.56667286138806,6.4596573991948105
synthetic_nonstationary_univariate,seasonal_naive,3.2482159360215688,4.180193074001757,1.0006137691420984
software_nonstationary_univariate,seasonal_naive,2.640163043478261,3.0012862278928223,9.96631503920832
germanhouses_sales_univariate,seasonal_naive,26.0211652173913,31.464933608411425,26.99861086204783
coinbase_economics_univariate,seasonal_naive,23.65179347826087,28.56667286138806,6.4596573991948105
federalfuns_weeks_univariate,seasonal_naive,1.9012365591397848,2.2425810782384477,12.12250177247956
german_quaterly_univariate,seasonal_naive,26.0211652173913,31.464933608411425,26.99861086204783
wtraffic_web_univariate,seasonal_naive,824.0769230769231,1116.9050128333688,1.350542665496423
synthetic_multiplticative_univariate,seasonal_naive,2167052962932.471,3069316520806.188,181.33697847091912
madrid_transport_univariate,seasonal_naive,0.368976601413182,0.7176822205834995,0.5179563264855126
occupancy_count_univariate,seasonal_naive,1.001054732433288,1.5008829719006165,18.088947348366
retail_categorical_univariate,seasonal_naive,1.286653707944769,4.665058481357496,1.151245323525401
synthetic_additive2_univariate,seasonal_naive,40.61151188878688,46.12978777655413,22.84604747450548
